program_id,eligibility_summary,cvr_requirement,cvr_notes,geography_scope,country_code,region,municipality,local_area,amount_model,amount_min,amount_max,amount_currency,amount_notes,source_url,last_checked,verification_status
nordea-fonden-good-lives,Almennyttige projekter inden for sundhed motion natur kultur og fællesskaber,unknown,CVR-kravet skal verificeres for den konkrete pulje,national,DK,,,,variable,,,DKK,Beløbet afhænger af den konkrete pulje,https://nordeafonden.dk/soeg-stoette,2026-06-08,to_verify
trygfonden-safety,Organisationer institutioner NGOer frivillige og forskere med projekter om tryghed sundhed sikkerhed eller trivsel,unknown,CVR-kravet skal verificeres for den konkrete ansøgertype,national,DK,,,,variable,,,DKK,Beløbet afhænger af indsats og ansøgningsrunde,https://tryghed.dk/sog-stotte,2026-06-08,source_checked
villum-research-calls,Ansøgere skal passe til kravene i et konkret opslag inden for forskning uddannelse eller almennyttige projekter,unknown,Kravet afhænger af det konkrete opslag,mixed,DK,Europa,,,variable,,,DKK,Beløbet fastsættes i det konkrete opslag,https://villumfonden.dk/da/simpel-side/aktuelle-opslag-0,2026-07-26,source_checked
velux-humanities-calls,Forskere praktikere institutioner og organisationer kan søge relevante konkrete opslag,unknown,Kravet afhænger af det konkrete opslag,national,DK,,,,variable,,,DKK,Beløbet fastsættes i det konkrete opslag,https://veluxfonden.dk/da/artikel/saadan-soeger-du,2026-07-26,source_checked
bikuben-art-social,Nye samarbejder inden for kunst og sociale forandringer indledes gennem dialog med fonden,unknown,Der er ingen almindelig åben ansøgningsvej,national,DK,,,,variable,,,DKK,Økonomien aftales i et eventuelt samarbejde,https://www.bikubenfonden.dk/kom-i-dialog,2026-07-26,source_checked
tuborg-youth,Unge foreninger og organisationer kan søge projekter om fællesskaber demokrati grøn omstilling og civilsamfund,unknown,CVR-kravet skal verificeres for den valgte støtteform,national,DK,,,,minimum,100000,,DKK,Projektstøtte er til ansøgninger over 100.000 kr.; mindre initiativer kan høre under andre puljer,https://tuborgfondet.dk/projektstoette,2026-07-26,source_checked
egmont-children,Organisationer og institutioner med indsatser for børn og unge i udsatte positioner starter med en kort forespørgsel,unknown,CVR-kravet skal verificeres i dialogfasen,national,DK,,,,variable,,,DKK,Beløbet aftales gennem forespørgselsforløbet,https://www.egmont.dk/saadan-ansoeger-i,2026-07-26,source_checked
lauritzen-general,Organisationer institutioner og projekter kan søge almennyttige indsatser inden for fondens områder,unknown,CVR-kravet fremgår ikke af de kuraterede data,national,DK,,,,variable,,,DKK,Støttebeløbet varierer,https://lauritzenfonden.com/soeg-stoette/,2026-07-26,source_checked
ole-kirks-children,Organisationer institutioner og projekter for børn familier læring og sociale indsatser kan søge,unknown,CVR-kravet fremgår ikke af de kuraterede data,national,DK,,,,variable,,,DKK,Støttebeløbet varierer,https://www.olekirksfond.dk/ansoegningsprocessen/,2026-07-26,source_checked
kr-climate,Organisationer NGOer og internationale partnerskaber kan kun søge klimaindsatser efter invitation,unknown,CVR-kravet afklares ved invitation,international,,,,,variable,,,DKK,Støttebeløbet aftales i det inviterede forløb,https://krfnd.org/how-we-work/,2026-07-26,source_checked
duf-initiativstoetten,Foreninger projektgrupper og privatpersoner kan søge frivilligdrevne projekter af for og med børn og unge,not_required,Privatpersoner og projektgrupper kan søge uden at være en CVR-registreret forening,national,DK,,,,variable,,,DKK,Ordinær støtte er op til 100.000 kr.; tematisk støtte kan have højere rammer,https://duf.dk/tilskud-puljer/initiativstoetten/,2026-07-02,source_checked
oestifterne-pools,Foreninger organisationer og almennyttige initiativer skal vælge en pulje der passer til indsats og geografi,unknown,CVR-kravet afhænger af den konkrete pulje,regional,DK,Østdanmark,,,variable,,,DKK,Beløbet afhænger af den konkrete pulje,https://www.oestifterne.dk/uddelinger/uddelingspuljer/,2026-07-02,source_checked
lb-national-grants,Foreninger og organisationer med regionale eller nationale fællesskabsindsatser kan søge relevante uddelinger,unknown,CVR-kravet afhænger af den konkrete uddeling,national,DK,,,,variable,,,DKK,Beløbet afhænger af den konkrete uddeling,https://www.lbforeningen.dk/soeg-stoette,2026-07-02,source_checked
nordjyllandsfonden-community,Foreninger og organisationer med involverende fællesskabsprojekter kan søge i hele Danmark,unknown,CVR-kravet skal verificeres for den konkrete uddelingsrunde,national,DK,,,,variable,,,DKK,Beløbet afhænger af uddelingsrunden,https://www.nordjyllandsfonden.dk/ansoeg,2026-07-02,source_checked
velliv-youth-mental-health,Civilsamfundsorganisationer arbejdspladser og organisationer kan søge indsatser om mental sundhed og arbejdsliv,unknown,CVR-kravet afhænger af støtteformen,national,DK,,,,range,50000,150000,DKK,Intervallet gælder Fodfæste i fællesskab; større projekter varierer,https://www.vellivforeningen.dk/soeg-stoette,2026-07-02,source_checked
noerrebro-byens-puls,Foreninger projektgrupper lokale aktører og borgere kan søge lokale offentlige aktiviteter på Nørrebro,not_required,Borgere og projektgrupper kan søge uden at være en CVR-registreret forening,local,DK,,København,Nørrebro,maximum,,10000,DKK,Der kan søges op til 10.000 kr.,https://noerrebrolokaludvalg.kk.dk/soeg-penge/,2026-07-02,source_checked
noerrebro-puljen,Foreninger projektgrupper lokale aktører og borgere kan søge projekter der gavner Nørrebro,not_required,Borgere og projektgrupper kan søge uden at være en CVR-registreret forening,local,DK,,København,Nørrebro,indicative_range,30000,50000,DKK,Typisk bevilling; der er ingen formel øvre grænse,https://noerrebrolokaludvalg.kk.dk/soeg-penge/,2026-07-02,source_checked
frederiksberg-hurtigpuljen,Foreninger organisationer projektgrupper og borgere kan søge mindre offentlige non-profit projekter på Frederiksberg,not_required,Borgere og projektgrupper kan søge; udbetalingskrav skal kontrolleres,municipal,DK,,Frederiksberg,,maximum,,20000,DKK,Der kan søges op til 20.000 kr.,https://www.frederiksberg.dk/fritid-og-oplevelser/tilskud-fra-puljer/hurtigpuljen,2026-07-02,source_checked
frederiksberg-kultur-fritid,Foreninger organisationer og projektgrupper kan søge større offentlige kultur- og fritidsprojekter på Frederiksberg,unknown,CVR-kravet skal verificeres,municipal,DK,,Frederiksberg,,maximum,,300000,DKK,Der kan søges op til 300.000 kr.,https://www.frederiksberg.dk/fritid-og-oplevelser/tilskud-fra-puljer/kultur-og-fritidspuljen,2026-07-02,source_checked
